SoluteName                                                                                                                       , SoluteSMILES                                      , SolventName               , SolventSMILES              , delGsolv
aceticacid                                                                                                                       , C(C)(=O)O                                         , diethylether              , C(C)OCC                    , -6.26
propanoicacid                                                                                                                    , C(CC)(=O)O                                        , diethylether              , C(C)OCC                    , -6.75
butanoicacid                                                                                                                     , C(CCC)(=O)O                                       , diethylether              , C(C)OCC                    , -7.32
pentanoicacid                                                                                                                    , C(CCCC)(=O)O                                      , diethylether              , C(C)OCC                    , -7.87
hexanoicacid                                                                                                                     , C(CCCCC)(=O)O                                     , diethylether              , C(C)OCC                    , -8.85
ethylamine                                                                                                                       , C(C)N                                             , diethylether              , C(C)OCC                    , -2.89
dimethylamine                                                                                                                    , CNC                                               , diethylether              , C(C)OCC                    , -2.63
propylamine                                                                                                                      , C(CC)N                                            , diethylether              , C(C)OCC                    , -3.65
trimethylamine                                                                                                                   , CN(C)C                                            , diethylether              , C(C)OCC                    , -2.78
butylamine                                                                                                                       , C(CCC)N                                           , diethylether              , C(C)OCC                    , -4.24
diethylamine                                                                                                                     , C(C)NCC                                           , diethylether              , C(C)OCC                    , -3.83
dipropylamine                                                                                                                    , C(CC)NCCC                                         , diethylether              , C(C)OCC                    , -4.96
pyridine                                                                                                                         , N1=CC=CC=C1                                       , diethylether              , C(C)OCC                    , -4.81
aniline                                                                                                                          , NC1=CC=CC=C1                                      , diethylether              , C(C)OCC                    , -6.51
acetonitrile                                                                                                                     , C(C)#N                                            , diethylether              , C(C)OCC                    , -3.59
benzonitrile                                                                                                                     , C(C1=CC=CC=C1)#N                                  , diethylether              , C(C)OCC                    , -6.36
nitrobenzene                                                                                                                     , [N+](=O)([O-])C1=CC=CC=C1                         , diethylether              , C(C)OCC                    , -6.85
2-methyl-1-nitrobenzene                                                                                                          , CC1=C(C=CC=C1)[N+](=O)[O-]                        , diethylether              , C(C)OCC                    , -7.21
allylalcohol                                                                                                                     , C(C=C)O                                           , diethylether              , C(C)OCC                    , -4.87
2-methoxyethanol                                                                                                                 , COCCO                                             , diethylether              , C(C)OCC                    , -5.12
m-hydroxybenzaldehyde                                                                                                            , OC=1C=C(C=O)C=CC1                                 , diethylether              , C(C)OCC                    , -11.36
p-hydroxybenzaldehyde                                                                                                            , OC1=CC=C(C=O)C=C1                                 , diethylether              , C(C)OCC                    , -12.07
chlorobenzene                                                                                                                    , ClC1=CC=CC=C1                                     , diethylether              , C(C)OCC                    , -5.42
"1,4-dichlorobenzene                                                                                                            ", ClC1=CC=C(C=C1)Cl                                 , diethylether              , C(C)OCC                    , -6.18
bromobenzene                                                                                                                     , BrC1=CC=CC=C1                                     , diethylether              , C(C)OCC                    , -5.99
ammonia                                                                                                                          , N                                                 , diethylether              , C(C)OCC                    , -1.41
water                                                                                                                            , O                                                 , diethylether              , C(C)OCC                    , -3.85
hydrogensulfide                                                                                                                  , S                                                 , diethylether              , C(C)OCC                    , -0.6
piperidine                                                                                                                       , N1CCCCC1                                          , diethylether              , C(C)OCC                    , -4.82
methylamine                                                                                                                      , CN                                                , diethylether              , C(C)OCC                    , -2.32
hydrazine                                                                                                                        , NN                                                , diethylether              , C(C)OCC                    , -3.08
acetamide                                                                                                                        , C(C)(=O)N                                         , diethylether              , C(C)OCC                    , -6.16
1-octanol                                                                                                                        , C(CCCCCCC)O                                       , diethylether              , C(C)OCC                    , -7.25
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , diethylether              , C(C)OCC                    , -4.19
"N,N-dimethylformamide                                                                                                          ", CN(C=O)C                                          , diethylether              , C(C)OCC                    , -5.31
urea                                                                                                                             , NC(=O)N                                           , diethylether              , C(C)OCC                    , -9.11
benzamide                                                                                                                        , C(C1=CC=CC=C1)(=O)N                               , diethylether              , C(C)OCC                    , -10.6
hydrogenperoxide                                                                                                                 , OO                                                , diethylether              , C(C)OCC                    , -7.03
formamide                                                                                                                        , C(=O)N                                            , diethylether              , C(C)OCC                    , -5.97
uracil                                                                                                                           , N1C(=O)NC(=O)C=C1                                 , diethylether              , C(C)OCC                    , -15.03
5-fluorouracil                                                                                                                   , FC=1C(NC(NC1)=O)=O                                , diethylether              , C(C)OCC                    , -15.56
5-bromouracil                                                                                                                    , BrC=1C(NC(NC1)=O)=O                               , diethylether              , C(C)OCC                    , -17.01
iodobenzene                                                                                                                      , IC1=CC=CC=C1                                      , diethylether              , C(C)OCC                    , -6.64
iodomethane                                                                                                                      , IC                                                , diethylether              , C(C)OCC                    , -3.51
n-octane                                                                                                                         , CCCCCCCC                                          , diisopropylether          , C(C)(C)OC(C)C              , -5.38
toluene                                                                                                                          , CC1=CC=CC=C1                                      , diisopropylether          , C(C)(C)OC(C)C              , -4.91
naphthalene                                                                                                                      , C1=CC=CC2=CC=CC=C12                               , diisopropylether          , C(C)(C)OC(C)C              , -7.24
ethanol                                                                                                                          , C(C)O                                             , diisopropylether          , C(C)(C)OC(C)C              , -3.9
phenol                                                                                                                           , C1(=CC=CC=C1)O                                    , diisopropylether          , C(C)(C)OC(C)C              , -8.35
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , diisopropylether          , C(C)(C)OC(C)C              , -4.42
formaldehyde                                                                                                                     , C=O                                               , diisopropylether          , C(C)(C)OC(C)C              , -1.04
2-butanone                                                                                                                       , CC(CC)=O                                          , diisopropylether          , C(C)(C)OC(C)C              , -3.96
aceticacid                                                                                                                       , C(C)(=O)O                                         , diisopropylether          , C(C)(C)OC(C)C              , -5.73
propanoicacid                                                                                                                    , C(CC)(=O)O                                        , diisopropylether          , C(C)(C)OC(C)C              , -6.37
butanoicacid                                                                                                                     , C(CCC)(=O)O                                       , diisopropylether          , C(C)(C)OC(C)C              , -6.85
pentanoicacid                                                                                                                    , C(CCCC)(=O)O                                      , diisopropylether          , C(C)(C)OC(C)C              , -7.59
hexanoicacid                                                                                                                     , C(CCCCC)(=O)O                                     , diisopropylether          , C(C)(C)OC(C)C              , -8.23
trimethylamine                                                                                                                   , CN(C)C                                            , diisopropylether          , C(C)(C)OC(C)C              , -2.74
diethylamine                                                                                                                     , C(C)NCC                                           , diisopropylether          , C(C)(C)OC(C)C              , -3.78
pyridine                                                                                                                         , N1=CC=CC=C1                                       , diisopropylether          , C(C)(C)OC(C)C              , -4.88
aniline                                                                                                                          , NC1=CC=CC=C1                                      , diisopropylether          , C(C)(C)OC(C)C              , -6.67
p-hydroxybenzaldehyde                                                                                                            , OC1=CC=C(C=O)C=C1                                 , diisopropylether          , C(C)(C)OC(C)C              , -11.63
water                                                                                                                            , O                                                 , diisopropylether          , C(C)(C)OC(C)C              , -3.58
isopropylether                                                                                                                   , C(C)(C)OC(C)C                                     , diisopropylether          , C(C)(C)OC(C)C              , -3.97
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , diisopropylether          , C(C)(C)OC(C)C              , -3.9
hydrogenperoxide                                                                                                                 , OO                                                , diisopropylether          , C(C)(C)OC(C)C              , -6.72
n-octane                                                                                                                         , CCCCCCCC                                          , dimethylacetamide         , CC(=O)N(C)C                , -3.94
toluene                                                                                                                          , CC1=CC=CC=C1                                      , dimethylacetamide         , CC(=O)N(C)C                , -4.94
ethanol                                                                                                                          , C(C)O                                             , dimethylacetamide         , CC(=O)N(C)C                , -5.4
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , dimethylacetamide         , CC(=O)N(C)C                , -5.01
2-butanone                                                                                                                       , CC(CC)=O                                          , dimethylacetamide         , CC(=O)N(C)C                , -4.52
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , dimethylacetamide         , CC(=O)N(C)C                , -5.62
"N,N-dimethylacetamide                                                                                                          ", CN(C(C)=O)C                                       , dimethylacetamide         , CC(=O)N(C)C                , -6.77
n-octane                                                                                                                         , CCCCCCCC                                          , dimethylformamide         , CN(C=O)C                   , -3.77
toluene                                                                                                                          , CC1=CC=CC=C1                                      , dimethylformamide         , CN(C=O)C                   , -4.88
ethanol                                                                                                                          , C(C)O                                             , dimethylformamide         , CN(C=O)C                   , -5.23
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , dimethylformamide         , CN(C=O)C                   , -5.03
2-butanone                                                                                                                       , CC(CC)=O                                          , dimethylformamide         , CN(C=O)C                   , -4.56
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , dimethylformamide         , CN(C=O)C                   , -5.66
"N,N-dimethylformamide                                                                                                          ", CN(C=O)C                                          , dimethylformamide         , CN(C=O)C                   , -6.47
n-octane                                                                                                                         , CCCCCCCC                                          , dimethylpyridine          , CC=1C(=NC=CC1)C            , -4.88
toluene                                                                                                                          , CC1=CC=CC=C1                                      , dimethylpyridine          , CC=1C(=NC=CC1)C            , -5.03
ethanol                                                                                                                          , C(C)O                                             , dimethylpyridine          , CC=1C(=NC=CC1)C            , -4.87
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , dimethylpyridine          , CC=1C(=NC=CC1)C            , -4.9
2-butanone                                                                                                                       , CC(CC)=O                                          , dimethylpyridine          , CC=1C(=NC=CC1)C            , -4.34
"2,6-dimethylpyridine                                                                                                           ", CC1=NC(=CC=C1)C                                   , dimethylpyridine          , CC=1C(=NC=CC1)C            , -6.04
n-octane                                                                                                                         , CCCCCCCC                                          , dimethylsulfoxide         , CS(=O)C                    , -2.84
toluene                                                                                                                          , CC1=CC=CC=C1                                      , dimethylsulfoxide         , CS(=O)C                    , -4.42
ethanol                                                                                                                          , C(C)O                                             , dimethylsulfoxide         , CS(=O)C                    , -5.25
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , dimethylsulfoxide         , CS(=O)C                    , -4.9
2-butanone                                                                                                                       , CC(CC)=O                                          , dimethylsulfoxide         , CS(=O)C                    , -4.23
dimethylsulfoxide                                                                                                                , CS(=O)C                                           , dimethylsulfoxide         , CS(=O)C                    , -7.63
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , dimethylsulfoxide         , CS(=O)C                    , -5.66
ethanol                                                                                                                          , C(C)O                                             , dodecane                  , CCCCCCCCCCCC               , -2.06
1-propanol                                                                                                                       , C(CC)O                                            , dodecane                  , CCCCCCCCCCCC               , -2.74
1-butanol                                                                                                                        , C(CCC)O                                           , dodecane                  , CCCCCCCCCCCC               , -3.47
1-pentanol                                                                                                                       , C(CCCC)O                                          , dodecane                  , CCCCCCCCCCCC               , -4.09
1-hexanol                                                                                                                        , C(CCCCC)O                                         , dodecane                  , CCCCCCCCCCCC               , -4.28
1-heptanol                                                                                                                       , C(CCCCCC)O                                        , dodecane                  , CCCCCCCCCCCC               , -5.41
acetophenone                                                                                                                     , C(C)(=O)C1=CC=CC=C1                               , dodecane                  , CCCCCCCCCCCC               , -6.11
n-dodecane                                                                                                                       , CCCCCCCCCCCC                                      , dodecane                  , CCCCCCCCCCCC               , -7.83
n-octane                                                                                                                         , CCCCCCCC                                          , ethanol                   , C(C)O                      , -4.23
toluene                                                                                                                          , CC1=CC=CC=C1                                      , ethanol                   , C(C)O                      , -4.57
ethanol                                                                                                                          , C(C)O                                             , ethanol                   , C(C)O                      , -5.04
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , ethanol                   , C(C)O                      , -4.68
2-butanone                                                                                                                       , CC(CC)=O                                          , ethanol                   , C(C)O                      , -4.32
chlorobenzene                                                                                                                    , ClC1=CC=CC=C1                                     , ethanol                   , C(C)O                      , -3.3
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , ethanol                   , C(C)O                      , -4.34
n-octane                                                                                                                         , CCCCCCCC                                          , ethoxybenzene             , C(C)OC1=CC=CC=C1           , -4.75
toluene                                                                                                                          , CC1=CC=CC=C1                                      , ethoxybenzene             , C(C)OC1=CC=CC=C1           , -4.99
ethanol                                                                                                                          , C(C)O                                             , ethoxybenzene             , C(C)OC1=CC=CC=C1           , -3.45
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , ethoxybenzene             , C(C)OC1=CC=CC=C1           , -4.87
2-butanone                                                                                                                       , CC(CC)=O                                          , ethoxybenzene             , C(C)OC1=CC=CC=C1           , -4.28
ethylphenylether                                                                                                                 , C(C)OC1=CC=CC=C1                                  , ethoxybenzene             , C(C)OC1=CC=CC=C1           , -6.75
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , ethoxybenzene             , C(C)OC1=CC=CC=C1           , -4.45
n-octane                                                                                                                         , CCCCCCCC                                          , ethylacetate              , C(C)OC(C)=O                , -4.72
toluene                                                                                                                          , CC1=CC=CC=C1                                      , ethylacetate              , C(C)OC(C)=O                , -5.05
methanol                                                                                                                         , CO                                                , ethylacetate              , C(C)OC(C)=O                , -3.37
ethanol                                                                                                                          , C(C)O                                             , ethylacetate              , C(C)OC(C)=O                , -4.24
"1,2-ethanediol                                                                                                                 ", C(CO)O                                            , ethylacetate              , C(C)OC(C)=O                , -6.82
1-propanol                                                                                                                       , C(CC)O                                            , ethylacetate              , C(C)OC(C)=O                , -4.9
1-butanol                                                                                                                        , C(CCC)O                                           , ethylacetate              , C(C)OC(C)=O                , -5.77
1-pentanol                                                                                                                       , C(CCCC)O                                          , ethylacetate              , C(C)OC(C)=O                , -6.13
phenol                                                                                                                           , C1(=CC=CC=C1)O                                    , ethylacetate              , C(C)OC(C)=O                , -8.7
1-hexanol                                                                                                                        , C(CCCCC)O                                         , ethylacetate              , C(C)OC(C)=O                , -6.92
1-heptanol                                                                                                                       , C(CCCCCC)O                                        , ethylacetate              , C(C)OC(C)=O                , -7.56
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , ethylacetate              , C(C)OC(C)=O                , -5.03
aceticacid                                                                                                                       , C(C)(=O)O                                         , ethylacetate              , C(C)OC(C)=O                , -6.46
propanoicacid                                                                                                                    , C(CC)(=O)O                                        , ethylacetate              , C(C)OC(C)=O                , -6.95
butanoicacid                                                                                                                     , C(CCC)(=O)O                                       , ethylacetate              , C(C)OC(C)=O                , -7.34
ethylacetate                                                                                                                     , C(C)OC(C)=O                                       , ethylacetate              , C(C)OC(C)=O                , -4.46
water                                                                                                                            , O                                                 , ethylacetate              , C(C)OC(C)=O                , -4.26
1-octanol                                                                                                                        , C(CCCCCCC)O                                       , ethylacetate              , C(C)OC(C)=O                , -8.41
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , ethylacetate              , C(C)OC(C)=O                , -5.06
4-methylaniline                                                                                                                  , CC1=CC=C(N)C=C1                                   , ethylacetate              , C(C)OC(C)=O                , -7.63
hydrogenperoxide                                                                                                                 , OO                                                , ethylacetate              , C(C)OC(C)=O                , -7.6
uracil                                                                                                                           , N1C(=O)NC(=O)C=C1                                 , ethylacetate              , C(C)OC(C)=O                , -15.43
5-fluorouracil                                                                                                                   , FC=1C(NC(NC1)=O)=O                                , ethylacetate              , C(C)OC(C)=O                , -16.1
5-bromouracil                                                                                                                    , BrC=1C(NC(NC1)=O)=O                               , ethylacetate              , C(C)OC(C)=O                , -17.93
ethylbenzene                                                                                                                     , C(C)C1=CC=CC=C1                                   , ethylbenzene              , C(C)C1=CC=CC=C1            , -5.67
methanol                                                                                                                         , CO                                                , ethylbenzene              , C(C)C1=CC=CC=C1            , -1.43
ethanol                                                                                                                          , C(C)O                                             , ethylbenzene              , C(C)C1=CC=CC=C1            , -2.49
1-propanol                                                                                                                       , C(CC)O                                            , ethylbenzene              , C(C)C1=CC=CC=C1            , -3.71
1-butanol                                                                                                                        , C(CCC)O                                           , ethylbenzene              , C(C)C1=CC=CC=C1            , -3.77
1-pentanol                                                                                                                       , C(CCCC)O                                          , ethylbenzene              , C(C)C1=CC=CC=C1            , -4.72
phenol                                                                                                                           , C1(=CC=CC=C1)O                                    , ethylbenzene              , C(C)C1=CC=CC=C1            , -6.82
1-hexanol                                                                                                                        , C(CCCCC)O                                         , ethylbenzene              , C(C)C1=CC=CC=C1            , -5.68
o-cresol                                                                                                                         , C1(=CC=CC=C1O)C                                   , ethylbenzene              , C(C)C1=CC=CC=C1            , -7.25
1-heptanol                                                                                                                       , C(CCCCCC)O                                        , ethylbenzene              , C(C)C1=CC=CC=C1            , -6.7
acetone                                                                                                                          , CC(=O)C                                           , ethylbenzene              , C(C)C1=CC=CC=C1            , -3.41
2-butanone                                                                                                                       , CC(CC)=O                                          , ethylbenzene              , C(C)C1=CC=CC=C1            , -4.12
2-pentanone                                                                                                                      , CC(CCC)=O                                         , ethylbenzene              , C(C)C1=CC=CC=C1            , -4.85
2-hexanone                                                                                                                       , CC(CCCC)=O                                        , ethylbenzene              , C(C)C1=CC=CC=C1            , -5.49
"3,3-dimethylbutanone                                                                                                           ", CC(C(C)=O)(C)C                                    , ethylbenzene              , C(C)C1=CC=CC=C1            , -4.92
2-heptanone                                                                                                                      , CC(CCCCC)=O                                       , ethylbenzene              , C(C)C1=CC=CC=C1            , -6.1
methylacetate                                                                                                                    , COC(C)=O                                          , ethylbenzene              , C(C)C1=CC=CC=C1            , -3.74
methylpropanoate                                                                                                                 , COC(CC)=O                                         , ethylbenzene              , C(C)C1=CC=CC=C1            , -4.29
ethylacetate                                                                                                                     , C(C)OC(C)=O                                       , ethylbenzene              , C(C)C1=CC=CC=C1            , -4.31
propylacetate                                                                                                                    , C(CC)OC(C)=O                                      , ethylbenzene              , C(C)C1=CC=CC=C1            , -4.95
methylpentanoate                                                                                                                 , COC(CCCC)=O                                       , ethylbenzene              , C(C)C1=CC=CC=C1            , -5.56
butylacetate                                                                                                                     , C(CCC)OC(C)=O                                     , ethylbenzene              , C(C)C1=CC=CC=C1            , -5.48
pentylacetate                                                                                                                    , C(CCCC)OC(C)=O                                    , ethylbenzene              , C(C)C1=CC=CC=C1            , -6.2
ethylamine                                                                                                                       , C(C)N                                             , ethylbenzene              , C(C)C1=CC=CC=C1            , -2.59
propylamine                                                                                                                      , C(CC)N                                            , ethylbenzene              , C(C)C1=CC=CC=C1            , -3.44
trimethylamine                                                                                                                   , CN(C)C                                            , ethylbenzene              , C(C)C1=CC=CC=C1            , -2.64
butylamine                                                                                                                       , C(CCC)N                                           , ethylbenzene              , C(C)C1=CC=CC=C1            , -4.43
p-bromophenol                                                                                                                    , BrC1=CC=C(C=C1)O                                  , ethylbenzene              , C(C)C1=CC=CC=C1            , -8.54
water                                                                                                                            , O                                                 , ethylbenzene              , C(C)C1=CC=CC=C1            , -1.51
n-octane                                                                                                                         , CCCCCCCC                                          , fluorobenzene             , FC1=CC=CC=C1               , -4.99
toluene                                                                                                                          , CC1=CC=CC=C1                                      , fluorobenzene             , FC1=CC=CC=C1               , -5.27
ethanol                                                                                                                          , C(C)O                                             , fluorobenzene             , FC1=CC=CC=C1               , -3.45
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , fluorobenzene             , FC1=CC=CC=C1               , -5.18
2-butanone                                                                                                                       , CC(CC)=O                                          , fluorobenzene             , FC1=CC=CC=C1               , -4.6
fluorobenzene                                                                                                                    , FC1=CC=CC=C1                                      , fluorobenzene             , FC1=CC=CC=C1               , -4.6
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , fluorobenzene             , FC1=CC=CC=C1               , -4.62
n-heptane                                                                                                                        , CCCCCCC                                           , heptane                   , CCCCCCC                    , -4.65
benzene                                                                                                                          , C1=CC=CC=C1                                       , heptane                   , CCCCCCC                    , -4.0
toluene                                                                                                                          , CC1=CC=CC=C1                                      , heptane                   , CCCCCCC                    , -4.78
o-xylene                                                                                                                         , C=1(C(=CC=CC1)C)C                                 , heptane                   , CCCCCCC                    , -5.52
m-xylene                                                                                                                         , C1(=CC(=CC=C1)C)C                                 , heptane                   , CCCCCCC                    , -5.67
p-xylene                                                                                                                         , C1(=CC=C(C=C1)C)C                                 , heptane                   , CCCCCCC                    , -5.52
naphthalene                                                                                                                      , C1=CC=CC2=CC=CC=C12                               , heptane                   , CCCCCCC                    , -7.02
anthracene                                                                                                                       , C1=CC=CC2=CC3=CC=CC=C3C=C12                       , heptane                   , CCCCCCC                    , -10.0
